Tyear,GrpTyear,Transect,Status,Lat,Long,Aspect,SlopeD,SlopeP,Year,Round,SpRound
IRC01_2022_3,IRC01_2022,IRC01,B,33.73867167,-117.700655,3,14,25,2022,3,6
IRC08_2021_1,IRC08_2021,IRC08,B,33.7424692,-117.7010743,110,15,27,2021,1,1
IRC08_2021_2,IRC08_2021,IRC08,B,33.7424692,-117.7010743,110,15,27,2021,2,2
IRC08_2021_3,IRC08_2021,IRC08,B,33.7424692,-117.7010743,110,15,27,2021,3,3
IRC08_2022_1,IRC08_2022,IRC08,B,33.7424692,-117.7010743,110,15,27,2022,1,4
IRC08_2022_2,IRC08_2022,IRC08,B,33.7424692,-117.7010743,110,15,27,2022,2,5
IRC08_2022_3,IRC08_2022,IRC08,B,33.7424692,-117.7010743,110,15,27,2022,3,6
IRC13_2021_1,IRC13_2021,IRC13,B,33.6989,-117.692,201,25,47,2021,1,1
IRC13_2021_2,IRC13_2021,IRC13,B,33.6989,-117.692,201,25,47,2021,2,2
IRC13_2021_3,IRC13_2021,IRC13,B,33.6989,-117.692,201,25,47,2021,3,3
IRC13_2022_1,IRC13_2022,IRC13,B,33.6989,-117.692,201,25,47,2022,1,4
IRC13_2022_2,IRC13_2022,IRC13,B,33.6989,-117.692,201,25,47,2022,2,5
IRC13_2022_3,IRC13_2022,IRC13,B,33.6989,-117.692,201,25,47,2022,3,6
IRC23_2021_1,IRC23_2021,IRC23,B,33.7583487,-117.71335,240,16,28,2021,1,1
IRC23_2021_2,IRC23_2021,IRC23,B,33.7583487,-117.71335,240,16,28,2021,2,2
IRC23_2021_3,IRC23_2021,IRC23,B,33.7583487,-117.71335,240,16,28,2021,3,3
IRC23_2022_1,IRC23_2022,IRC23,B,33.7583487,-117.71335,240,16,28,2022,1,4
IRC23_2022_2,IRC23_2022,IRC23,B,33.7583487,-117.71335,240,16,28,2022,2,5
IRC23_2022_3,IRC23_2022,IRC23,B,33.7583487,-117.71335,240,16,28,2022,3,6
SS03_2021_1,SS03_2021,SS03,B,33.75008,-117.71372,50,9,19,2021,1,1
SS03_2021_2,SS03_2021,SS03,B,33.75008,-117.71372,50,9,19,2021,2,2
SS03_2021_3,SS03_2021,SS03,B,33.75008,-117.71372,50,9,19,2021,3,3
SS03_2022_1,SS03_2022,SS03,B,33.75008,-117.71372,50,9,19,2022,1,4
SS03_2022_2,SS03_2022,SS03,B,33.75008,-117.71372,50,9,19,2022,2,5
SS03_2022_3,SS03_2022,SS03,B,33.75008,-117.71372,50,9,19,2022,3,6
SS04_2021_1,SS04_2021,SS04,B,33.74988,-117.7137,306,10,17,2021,1,1
SS04_2021_2,SS04_2021,SS04,B,33.74988,-117.7137,306,10,17,2021,2,2
SS04_2021_3,SS04_2021,SS04,B,33.74988,-117.7137,306,10,17,2021,3,3
SS04_2022_1,SS04_2022,SS04,B,33.74988,-117.7137,306,10,17,2022,1,4
SS04_2022_2,SS04_2022,SS04,B,33.74988,-117.7137,306,10,17,2022,2,5
SS04_2022_3,SS04_2022,SS04,B,33.74988,-117.7137,306,10,17,2022,3,6
SS05_2021_1,SS05_2021,SS05,B,33.750802,-117.71258,254,20,36,2021,1,1
SS05_2021_2,SS05_2021,SS05,B,33.750802,-117.71258,254,20,36,2021,2,2
SS05_2021_3,SS05_2021,SS05,B,33.750802,-117.71258,254,20,36,2021,3,3
SS05_2022_1,SS05_2022,SS05,B,33.750802,-117.71258,254,20,36,2022,1,4
SS05_2022_2,SS05_2022,SS05,B,33.750802,-117.71258,254,20,36,2022,2,5
SS05_2022_3,SS05_2022,SS05,B,33.750802,-117.71258,254,20,36,2022,3,6
