spCode,spName,gHabit,Categorization2,Categorization,Nat_Non,covertype,csprouting
TRICIL,Trifolium_ciliolatum,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
TRIHIR,Trifolium_hirtum,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
TRILANA,Trichostema_lanatum,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
TRILANC,Trichostema lanceolatum,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
TRIMIC,Trifolium_microcephalum,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
TRIREP,Trifolium_repens,Forb,NN_Forb,FORB_Perennial,NONNATIVE,plant,non
TRISPP,Trifolium_species,Forb,Forb,FORB_Annual,.,plant,non
TRITRI,Trifolium_trichocalyx,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
TRIWIL,Trifolium_willdenovii,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
TRIWOR,Trifolium wormskioldii,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
UNK(D),Unknown_dead,,.,.,.,plant,non
UNK1,Unkown_1,,.,.,.,plant,non
UNK2,Unkown_2,,.,.,.,plant,non
UK(01),,,,,,plant,non
UK(02),,,,,,plant,non
UK(03),,,,,,plant,non
UK(04),,,,,,plant,non
UK(05),,,,,,plant,non
UK(06),,,,,,plant,non
UK(07),,,,,,plant,non
UK(08),,,,,,plant,non
UK(09),,,,,,plant,non
UK(10),,,,,,plant,non
UK(11),,,,,,plant,non
UK(12),,,,,,plant,non
UK(13),,,,,,plant,non
UNKFERN,Unknown_fern,Fern,,,,plant,non
UNKFORB1,,Forb,,,,plant,non
UNKFORB2,,Forb,,,,plant,non
UNKFORB3,,Forb,,,,plant,non
UNKFORB,Unknown_forb,Forb,,,,plant,non
UNKGRASS,Unknown_grass,Grass,,,,plant,non
UNKGEOPHYTE,,Forb,,,,plant,non
UNKLETTUCE,,Forb,,,,plant,non
VERLAS,Verbena_lasiostachys,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
VICAME,Vicia americana var. americana,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
VINE SNAPDRAGON,VINE SNAPDRAGON,Forb,,,,plant,non
VIOPED,Viola_pedunculata,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
VIOSPP,Viola species,Forb,,,,plant,non
W,Woody debris (coarse),,,,,Gcover,non
UNKNAT,,,,,NATIVE,plant,non
UNKNAT(D),,,,,NATIVE,plant,non
UNKNNAT,,,,,NONNATIVE,plant,non
UNKNOWN,,,,,,plant,non
UNKSHRUB,,Shrub,,,,plant,non
UNKSUCCULENT,,Forb,,,,plant,non
UNKTHISTLE,,Forb,,,,plant,non
URTDIO,Urtica dioica,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
PSELUT,Pseudognaphalium luteoalbum,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
PSESTR,Pseudognaphalium stramineum,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
MALLAU(CS),,Shrub,,,NATIVE,plant,crownsprouting
SALMEL(CS),,Shrub,,,NATIVE,plant,crownsprouting
ENCCAL(CS),,Shrub,,,NATIVE,plant,crownsprouting
QUEAGR(CS),,Shrub,,,NATIVE,plant,crownsprouting
SAMNIG(CS),,Shrub,,,NATIVE,plant,crownsprouting
MALFAS(CS),,Shrub,,,NATIVE,plant,crownsprouting
ARTCAL(CS),,Shrub,,,NATIVE,plant,crownsprouting
SALAPI(CS),,Shrub,,,NATIVE,plant,crownsprouting
RHAILI(CS),,Shrub,,,NATIVE,plant,crownsprouting
RHUINT(CS),,Shrub,,,NATIVE,plant,crownsprouting
ADEFAS(CS),,Shrub,,,NATIVE,plant,crownsprouting
ERIFAS(CS),,Shrub,,,NATIVE,plant,crownsprouting
ACMGLA(CS),,Forb,,,NATIVE,plant,crownsprouting
SOLNIG,,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
CRY,,,NativeForb,,,,
CAMCAL,,,NativeForb,,,,
CASAFF,Castilleja_affinis,,NativeForb,,,,
ERICAL,,,NativeShrub,,,,
MED,,,NativeForb,,,,
TRILAN,,,NativeShrub,,,,
